placeID,name,address,city,state,country
132732,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico
132706,Gorditas Dona Tota,Zaragoza entre Francisco Zarco y Lopez Velarde,Cd. Victoria,Tamaulipas,Mexico
135088,Cafeteria cenidet,Interior Internado Palmira SN,Cuernavaca,Morelos,Mexico
134986,Restaurant Las Mananitas,Ricardo Linares 107,Cuernavaca,Morelos,Mexico
134987,Chilis Cuernavaca,Rio Mayo Colonia Vista Hermosa Esq. Rio Balsas,Cuernavaca,Morelos,Mexico
134999,Kiku Cuernavaca,Revolucion,Cuernavaca,Morelos,Mexico
132583,McDonalds Centro,Rayon sn col. Centro,Cuernavaca,Morelos,Mexico
134996,Sanborns Casa Piedra,Lomas del Mirador,Cuernavaca,Morelos,Mexico
135001,Vips,Emiliano Zapata No. 825 Tlaltenongo,Cuernavaca,Morelos,Mexico
132766,Mikasa,Himno nacional esq. Blvd. Juarez,Cuernavaca,Morelos,Mexico
135021,Subway,Rio Mayo 17 Vista Hermosa,Cuernavaca,Morelos,Mexico
135000,Restaurant los Pinos,Federal Mexico - Acapulco 10 3 de Mayo,Cuernavaca,Morelos,Mexico
134983,Restaurant and Bar and Clothesline Carlos N Charlies,Domingo 10 711 El Empleado,Cuernavaca,Morelos,Mexico
135018,El Oceano Dorado,Libramiento Burgos Colonia Las Animas,Cuernavaca,Morelos,Mexico
134992,Restaurant Teely,La Pradera,Cuernavaca,Morelos,Mexico
132773,El cotorreo,Emiliano Zapata Col. Tres de Mayo,Cuernavaca,Morelos,Mexico
135016,Arrachela Grill,69 Tres De Mayo,Cuernavaca,Morelos,Mexico
132767,Restaurant Familiar El Chino,Paseo de las Fuentes,Jiutepec,Morelos,Mexico
135013,Giovannis,40 Norte Civac 1RA. Seccion,Jiutepec,Morelos,Mexico
135019,Restaurant Bar Coty y Pablo,Paseo de Las Fuentes 24 Pedregal de Las Fuentes,Jiutepec,Morelos,Mexico
135011,Los Vikingos,36 Sur Civac,Jiutepec,Morelos,Mexico
135039,Restaurant de Mariscos de Picon,Miguel Barragan 46 Centro,San Luis Potosi,San Luis Potosi,Mexico
135032,Cafeteria y Restaurant El Pacifico,Constitucion 200 Centro,San Luis Potosi,San Luis Potosi,Mexico
135069,Abondance Restaurante Bar,Industrias 908 Valle Dorado,San Luis Potosi,San Luis Potosi,Mexico
135042,Restaurant Oriental Express,Tangamanga 7 Tangamanga,San Luis Potosi,San Luis Potosi,Mexico
135048,Restaurante Bar Fu-hao,Jesus Goytortua 390 Tangamanga,San Luis Potosi,San Luis Potosi,Mexico
135026,la Cantina,Capitan Caldera No. 420 Tequisqueapan,San Luis Potosi,San Luis Potosi,Mexico
135034,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosi,San Luis Potosi,Mexico
135065,El angel Restaurante,Venustiano Carranza 1625 Jardin,San Luis Potosi,San Luis Potosi,Mexico
132866,Chaires,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico
132858,Hamburguesas Valle Dorado,Av. Coral,San Luis Potosi,San Luis Potosi,Mexico
132869,Dominos Pizza,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico
135054,Restaurante y Pescaderia Tampico,Ricardo B. Anaya 2700 Estrella de Oriente,San Luis Potosi,San Luis Potosi,Mexico
132854,Sirlone,carr. mexico,San Luis Potosi,San Luis Potosi,Mexico
135052,La Cantina Restaurante,Ignacio Aldama 300 Centro,San Luis Potosi,San Luis Potosi,Mexico
135057,El Herradero Restaurante and Bar,Costado Sur Central Camionera Km 2,San Luis Potosi,San Luis Potosi,Mexico
135060,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosi,San Luis Potosi,Mexico
135108,Potzocalli,Carretera Central Sn,San Luis Potosi,San Luis Potosi,Mexico
135081,El Club,Mexico 810 Centro,San Luis Potosi,San Luis Potosi,Mexico
135071,Restaurante la Cantina,De La Estrella 2005 Estrella de Oriente,San Luis Potosi,San Luis Potosi,Mexico
135082,la Estrella de Dimas,Villa de Pozos 192 Villa de Pozos,San Luis Potosi,San Luis Potosi,Mexico
132870,Tortas y hamburguesas el gordo,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico
132755,La Estrella de Dimas,Av. de los Pintores,San Luis Potosi,San Luis Potosi,Mexico
135070,Restaurante 75,Villa de Pozos 4497 Villa de Pozos,San Luis Potosi,San Luis Potosi,Mexico
135049,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosi,San Luis Potosi,Mexico
135053,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,San Luis Potosi,San Luis Potosi,Mexico
135058,Restaurante Tiberius,Munoz Sn Centro,San Luis Potosi,San Luis Potosi,Mexico
135085,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico
132862,La Posada del Virrey,Av. V. Carranza,San Luis Potosi,San Luis Potosi,Mexico
135080,los Toneles,Estatuto Juridico 1040 Burocratas,San Luis Potosi,San Luis Potosi,Mexico
135064,Restaurante El Chivero S.A. de C.V.,Angel Veral 328 Altamira,San Luis Potosi,San Luis Potosi,Mexico
132861,Carls Jr,Av. V. Carranza,San Luis Potosi,San Luis Potosi,Mexico
132951,VIPS,NICOLAS ZAPATA 300,San Luis Potosi,San Luis Potosi,Mexico
135076,Restaurante Pueblo Bonito,Mexico 2015 Providencia,San Luis Potosi,San Luis Potosi,Mexico
135079,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosi,San Luis Potosi,Mexico
135047,Restaurante Casa de las Flores,General Mariano Arista 1205 Barrio de Tequisquiap,San Luis Potosi,San Luis Potosi,Mexico
135062,Restaurante El Cielo Potosino,Julian de Los Reyes 400 Centro,San Luis Potosi,San Luis Potosi,Mexico
135044,Restaurant Wu Zhuo Yi,Himno Nacional 100 Avenida,San Luis Potosi,San Luis Potosi,Mexico
135030,Preambulo Wifi Zone Cafe,Anahuac 805,San Luis Potosi,San Luis Potosi,Mexico
135066,Restaurante Guerra,20 de Noviembre 1817 Tlaxcala,San Luis Potosi,San Luis Potosi,Mexico
135038,Restaurant la Chalita,Guajardo Sn San Luis Potosi Centro,San Luis Potosi,San Luis Potosi,Mexico
132754,Cabana Huasteca,Cuauhtemoc 455,San Luis Potosi,San Luis Potosi,Mexico
135046,Restaurante El Reyecito,Agricultura 595 del Valle,San Luis Potosi,San Luis Potosi,Mexico
135075,Mariscos El Pescador,Himno Nacional 2104 Tangamanga,San Luis Potosi,San Luis Potosi,Mexico
135028,La Virreina,Av. Carranza 830,San Luis Potosi,San Luis Potosi,Mexico
135045,Restaurante la Gran Via,Venustiano Carranza 560 Centro,San Luis Potosi,San Luis Potosi,Mexico
135086,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico
135025,El Rincon de San Francisco,1a. de Lozada 1,San Luis Potosi,San Luis Potosi,Mexico
135072,Sushi Itto,Venustiano Carranza 1809 C Polanco,San Luis Potosi,San Luis Potosi,Mexico
135055,la Cochinita Pibil Restaurante Yucateco,Venustiano Carranza 2175 Jardin,San Luis Potosi,San Luis Potosi,Mexico
135041,Luna Cafe,Francisco I. Madero 215,San Luis Potosi,San Luis Potosi,Mexico
135051,Restaurante Versalles,Francisco I. Madero 145 Centro,San Luis Potosi,San Luis Potosi,Mexico
132856,Unicols Pizza,Plaza del Carmen,San Luis Potosi,San Luis Potosi,Mexico
135063,Restaurante Alhondiga,Alhondiga 62 Centro,San Luis Potosi,San Luis Potosi,Mexico
135073,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,San Luis Potosi,San Luis Potosi,Mexico
135074,Restaurante la Parroquia Potosina,Venustiano Carranza 303 Centro,San Luis Potosi,San Luis Potosi,Mexico
135027,Restaurant Orizatlan,Pascual M. Hernandez 240,San Luis Potosi,San Luis Potosi,Mexico
135035,El Mundo de la Pasta,Rio Papaloapan 265 Lomas de San Luis (3),San Luis Potosi,San Luis Potosi,Mexico
132885,Hamburguesas saul,Av. Saan Luis enttre moctezuma y salinas,San Luis Potosi,San Luis Potosi,Mexico
135033,Restaurant El Muladar de Calzada,De Guadalupe 460 San Miguelito,San Luis Potosi,San Luis Potosi,Mexico
135059,Restaurant Bar Hacienda los Martinez,Santos Degollado 745 los Alamitos,San Luis Potosi,San Luis Potosi,Mexico
135106,El Rincon de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico
135040,Restaurant los Compadres,Camino a Simon Diaz 155 Centro,San Luis Potosi,San Luis Potosi,Mexico
135043,pizza clasica,524 Soledad de Graciano Sanchez,Soledad,San Luis Potosi,Mexico
135050,Restaurante la Estrella de Dima,Soledad Sn Arboledas de Soledad,Soledad,San Luis Potosi,Mexico
132768,Mariscos Tia Licha,avenida salvador montiel ,cuernavaca,Morelos,Mexico
132825,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,San Luis Potosi,Mexico
132955,emilianos,venustiano carranza,san luis potos,Mexico City,Mexico
132954,la parroquia,venustiano carranza,san luis potosi,San Luis Potosi,Mexico
132937,rockabilly ,agustin de iturbide,san luis potosi,San Luis Potosi,Mexico
132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,san luis potosi,San Luis Potosi,Mexico
132958,tacos los volcanes,avenida hivno nacional,san luis potosi,San Luis Potosi,Mexico
132845,Cenaduria El Rincon de Tlaquepaque,av. seminario,san luis potosi,San Luis Potosi,Mexico
132846,el lechon potosino ,circuito oriente esq. carretera 57,san luis potosi ,San Luis Potosi,Mexico
132847,don burguers,r.b. anaya esq. florencia,slp,San Luis Potosi,Mexico
132609,Pollo_Frito_Buenos_Aires,tampico,victoria,Tamaulipas,Mexico
132613,carnitas_mata,lic. Emilio portes gil,victoria,Tamaulipas,Mexico
132560,puesto de gorditas,frente al tecnologico,victoria,Tamaulipas,Mexico
132608,Hamburguesas La perica,cd. mier,victoria,Tamaulipas,Mexico
132630,palomo tec,blvrd emilio portes gil,victoria,Tamaulipas,Mexico
132660,carnitas mata calle Emilio Portes Gil,Emilio Portes Gil,victoria,Tamaulipas,Mexico
132654,Carnitas Mata  Calle 16 de Septiembre,16 de Septiembre,victoria ,Tamaulipas,Mexico
132667,little pizza Emilio Portes Gil,calle emilio portes gil,victoria ,Tamaulipas,Mexico